date,name,nation,score
2023-03-07,Sarah Rodriguez,Iceland,65
2023-02-26,Lisa Riggs,Niue,17
2023-01-14,Monique Warren,Slovakia (Slovak Republic),44
2023-02-05,Wayne Bradford,Bangladesh,29
2023-03-04,Maureen Simmons,Estonia,25
2023-01-12,Victor Rodriguez,Sao Tome and Principe,60
2023-01-26,Nancy Garza,Panama,66
2023-02-05,Parker Walker,Mayotte,17
2023-03-05,Roy Kennedy,Seychelles,79
2023-01-22,Michael Sherman,Greece,11
2023-02-06,Miss Anne Escobar,Taiwan,88
2023-01-27,Ariana Yang,Guernsey,48
2023-01-15,Jordan Wood,Belgium,38
2023-01-24,Nancy Logan,Sao Tome and Principe,70
2023-01-13,Veronica Fletcher,Bolivia,60
2023-01-17,Raymond Davis,Tuvalu,13
2023-01-31,Jennifer Williams,Libyan Arab Jamahiriya,50
2023-01-26,Tammy Mack,Cook Islands,16
2023-01-31,Lori Henry,Pitcairn Islands,75
2023-03-08,Gregory Smith,Guinea-Bissau,43
2023-03-06,Jessica Clark,Gabon,7
2023-02-07,Paul Simon,Malaysia,41
2023-03-13,Andrew Keller,Switzerland,22
2023-01-22,Timothy Morales,Zambia,16
2023-02-26,Denise Fuller,Ukraine,31
2023-01-28,Catherine Flores,Nauru,62
2023-01-24,Jacob Jones,France,13
2023-01-01,Barbara Hammond,Holy See (Vatican City State),15
2023-03-04,Stephanie Anderson,Trinidad and Tobago,61
2023-02-06,Jason Wilson,United States Virgin Islands,75
2023-02-16,Bill Blair,Slovakia (Slovak Republic),82
2023-03-19,Eric Gonzales,Saint Kitts and Nevis,9
2023-02-21,Julie Hamilton,Jordan,27
2023-02-09,Lori Brown,Rwanda,88
2023-01-31,Corey Chen,American Samoa,84
2023-01-21,Cindy Sullivan,France,66
2023-03-05,Alicia Williamson,Martinique,13
2023-03-18,Ronald Ayers,Korea,41
2023-03-16,Carla Parker,Bulgaria,55
2023-01-07,Lee Ward,Cayman Islands,63
2023-03-20,Regina Wood,Iceland,88
